type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,encoded_type,cluster,wine_type
,7.1,0.7860484558838841,0.09327372416459695,6.549447178045792,0.07494798569169532,5.083549681999112,22.334198727996448,0.9973780040302187,3.3743563116061646,0.5007672337046236,10.40835496819991,3,0,1,Other
,7.073742057770893,0.8674508416091319,0.04803065433281703,5.443985063266213,0.08173742057770894,3.196934566718298,13.868710288854468,0.9979434587004086,3.4098467283359146,0.5272209341130043,10.183588786106808,3,0,1,Off-Dry
,6.93837808731532,0.8285337001031543,0.03787835654864896,4.124186351324365,0.08038378087315319,4.212164345135104,13.191890436576598,0.9972395660540396,3.460608217256755,0.5644460259882872,10.098986304572074,3,0,1,Off-Dry
,7.0792439396322635,0.3428316664045099,0.3044329547241978,10.522610611542065,0.040075606036773626,15.481098490806593,63.1979318503556,0.9938193473471145,3.256085946784996,0.41193473471144837,11.419570266075022,3,0,4,Other
,7.1,0.6127708163679315,0.17757095419938462,8.204170582432365,0.06121065931565584,9.142305202192592,38.56922080877037,0.9960105156318766,3.324402397511476,0.46330179813360683,10.814230520219258,3,0,1,Other
,6.961562870414891,0.31498762117019435,0.31570367528873805,10.718352046706158,0.03814321082370873,18.291373179339722,70.34406165249823,0.9938518034731313,3.248592649422524,0.4019094776494498,11.332920705673146,3,1,4,Other
,7.1,0.5125833017188601,0.22631082619082482,9.160916217819894,0.05326786536149522,11.489039779558231,47.956159118232925,0.9952198465973489,3.295519510405437,0.44163963280407786,11.048903977955822,3,0,4,Other
,7.069977780522813,0.3530244414249052,0.2974833353921101,10.30948895202471,0.04100222194771865,15.249444513070337,61.947000370579815,0.9938726277619938,3.2632672200948196,0.4172627761993823,11.383663899525903,3,0,4,Other
,7.1,0.5716990231976433,0.19755182655249787,8.596387706400884,0.05795451715440776,10.104347204379525,42.4173888175181,0.9956863814803706,3.312561880561483,0.45442141042111206,10.910434720437951,3,0,1,Other
,7.1,0.7970826299064409,0.08790574761308281,6.444075786479033,0.07582276705564577,4.825091551741025,21.3003662069641,0.9974650845387211,3.3775373347478026,0.5031530010608521,10.382509155174102,3,0,1,Other
,5.815978668332163,0.2735095724740956,0.2801510621206534,8.38768073902061,0.039328297929311556,37.25276686898488,106.29170385578382,0.9951079958050703,3.3196978757586932,0.4177106390574874,9.950319082469854,3,1,4,Other
,7.1,0.323382520566591,0.3183544494540909,10.967698452246971,0.03826816379266666,15.920769788530304,65.68307915412122,0.9937266944866336,3.2409751410642427,0.40073135579818187,11.49207697885303,3,0,4,Other
,5.38242429234665,0.48410345963751344,0.15660814737158724,5.344639508761376,0.05771703309869402,39.128316609260125,98.69425041187209,0.9973692790175227,3.411845349707954,0.47261860116818344,8.897011532125045,3,0,4,Other
,7.001851626432908,0.846782342599461,0.04263887198246807,4.743053357720848,0.08101851626432907,3.7361128017531935,13.509258132164538,0.9975696284574511,3.4368056400876594,0.5469908027309505,10.138657266520566,3,0,1,Off-Dry
,6.703860318824132,0.761109841661938,0.02028952391180991,1.8376381085352884,0.07803860318824132,5.971047608819009,12.01930159412066,0.9960200736578855,3.5485523804409502,0.6289384123233637,9.952412699265082,3,0,1,Other
,6.033116457330716,0.6321920213235424,0.1162203578208521,5.479265473930493,0.06691647405191703,25.441343483733213,66.60839537989916,0.9976385309478609,3.40735781753565,0.4905687298573991,9.390640071078474,3,0,1,Other
,6.95728637131535,0.47698499155311475,0.21296477848651266,7.717586540253055,0.052271362868464975,12.432159282883756,46.73366012757228,0.9945206033649368,3.350603062230604,0.48206033649367364,10.946984688846982,3,0,4,Other
,6.256620479156063,0.2894638449349609,0.29382615280139507,9.284158905869232,0.03887246157328683,29.959385172589293,92.46466772303387,0.994624809267684,3.29234769439721,0.41163282097715775,10.482128164498697,3,1,4,Other
,6.916590902544161,0.5217500072014227,0.18244317690812084,6.781590758515706,0.05634090974558389,11.414772563604028,41.23977184346175,0.994754602310371,3.3821420505282753,0.5054602310371074,10.789289747358623,3,0,1,Other
,7.080223129481659,0.3417545575701743,0.3051673471112448,10.545131978078174,0.03997768705183403,15.505578237041494,63.330122480024066,0.9938137170054805,3.255327074651714,0.41137170054804567,11.423364626741431,3,0,4,Other
,6.787289989016941,0.6639810120813654,0.08546749176270543,3.8076697473896335,0.06927100109830595,8.182249725423514,23.784148517286972,0.9954980825631526,3.482350258511871,0.5798082563152591,10.288248707440644,3,0,1,Off-Dry
,6.71340153565245,0.7870155219071092,0.07399576675260658,5.620014110824645,0.0765342975730174,11.131898732827779,33.063303586793,0.9979200282216493,3.402666196305845,0.5093352147766194,9.90671840635703,3,0,1,Off-Dry
,6.878790213596982,0.5633307650433198,0.15409266019773646,5.912174912730585,0.0601209786403018,10.46975533992455,36.13667883559256,0.9949719562718173,3.411437584462339,0.5271956271817354,10.642812077688305,3,0,1,Other
,6.494689280686675,0.29808357740417274,0.30121449491786234,9.768505777948754,0.03862618350273792,26.018936043806754,84.99423291638364,0.9943637545129023,3.2775710101642757,0.408349113369839,10.769452580139092,3,1,4,Other
,6.807540142282531,0.6417058434892156,0.10065510671189846,4.27342327249822,0.06724598577174687,8.688503557063282,26.517919208141723,0.9953816441818755,3.466656389731038,0.5681644181875445,10.366718051344808,3,0,1,Off-Dry
,6.390963706184112,0.2943279962583903,0.29799542536433454,9.557477884995263,0.03873348582118885,27.73577313902159,88.24906990939509,0.9944774949704602,3.284009149271331,0.4097798109491847,10.644266541946342,3,1,4,Other
,6.9541362648982625,0.8330641761582505,0.03906021986736969,4.27782858275806,0.08054136264898262,4.0939780132630315,13.270681324491314,0.9973215085774709,3.454698900663151,0.5601125271529778,10.108835165561413,3,0,1,Off-Dry
,5.53669722481838,0.26339765813997584,0.27148370697712215,7.819487457389117,0.03961720976742926,41.875356278868196,115.05536294535429,0.995414242353475,3.3370325860457557,0.42156279689905685,9.613255271332527,3,1,4,Other
,6.595493731138648,0.3017333937136407,0.30434290889740634,9.973590694385525,0.038521903036753125,24.350448588049964,81.83105878151139,0.9942532172189583,3.2713141822051877,0.40695870715670834,10.891113123788024,3,1,4,Other
,6.7718138070660885,0.7806464695315003,0.025386035529956604,2.5001846188943584,0.07871813807066089,5.46139644700434,12.35906903533044,0.9963734317967436,3.523069822350217,0.6102512030568258,9.994883629416304,3,0,1,Other
,7.1,0.549848898314838,0.20818161703602478,8.805046556633078,0.0562222550015367,10.616151931364156,44.464607725456624,0.9955139426569711,3.3062627454601334,0.4496970590951001,10.961615193136415,3,0,1,Other
,7.1,0.7611287840955622,0.10539680773729407,6.787418818546884,0.07297237207244096,5.667253705869714,24.669014823478857,0.9971813406744838,3.3671722620816036,0.49537919656120266,10.466725370586971,3,0,1,Other
,6.913591034749113,0.8214074224903701,0.03601932760618351,3.8825125888038565,0.08013591034749114,4.398067239381649,13.067955173745567,0.9971106733806954,3.4699033619690822,0.5712624654439938,10.083494396718196,3,0,1,Off-Dry
,7.054283776938789,0.8618565858699019,0.046571283270409186,5.254266825153195,0.0815428377693879,3.342871672959081,13.771418884693945,0.9978422756400817,3.417143583647954,0.532571961341833,10.171427360586742,3,0,1,Off-Dry
,7.1,0.4557420460222058,0.25396332896217017,9.70372460555371,0.04876153157653523,12.820456579660044,53.28182631864018,0.9947712615523915,3.279132842096492,0.42934963157236883,11.182045657966004,3,0,4,Other
,6.896420280187531,0.5439376917937162,0.16731521014064804,6.317666444313206,0.058357971981246926,10.910507004688268,38.51673782531665,0.9948705833889218,3.3977742828546638,0.5170583388921699,10.711128585726682,3,0,1,Other
,7.1,0.46727074368879823,0.2483547733405847,9.59363073594481,0.04967551841857139,12.550415012694817,52.20166005077927,0.9948622447880305,3.282456430612987,0.4318423229597402,11.155041501269482,3,0,4,Other
,4.781381870238591,0.23605003323277657,0.2480428856280942,6.282811391175064,0.04039857047906353,54.37712766501643,138.75663786492697,0.9962424847078073,3.3839142287438118,0.43198093972084706,8.701667774425886,3,1,4,Other
,6.938015762894073,0.8284295318320463,0.03785118221705554,4.12065368821722,0.08038015762894074,4.214881778294446,13.190078814470368,0.9972376819670492,3.4607440889147223,0.5645456652041297,10.098759851808795,3,0,1,Off-Dry
,7.1,0.6853918878944547,0.1422417842675626,7.510672061548451,0.06696800552676759,7.441271094364124,31.765084377456496,0.9965836332774373,3.3453382019155185,0.47900365143663887,10.644127109436411,3,0,1,Other
,6.988637241259478,0.44249903461457446,0.23647793094460834,8.43865654896799,0.049136275874052227,13.215931031486944,50.966027570029496,0.994340335862758,3.326306138023905,0.4640335862758003,11.068469309880475,3,0,4,Other
,4.762076924367614,0.3429209552009053,0.19511246676338947,5.2162917774553685,0.04894660479278351,52.177002625370875,129.28379303980384,0.9971125835549107,3.4161236074181542,0.4555055703273825,8.426403184003018,3,0,4,Other
,6.7835026471842115,0.6681470880973676,0.0826269853881585,3.7205608852368606,0.06964973528157886,8.087566179605282,23.272857369868532,0.9955198597786908,3.485285448432236,0.5819859778690785,10.273572757838819,3,0,1,Off-Dry
,6.28707178260805,0.6899887505245907,0.10045761349329346,5.531807955022355,0.0705068769265276,20.099524572727226,54.08577071967201,0.9977436159100447,3.405606401499255,0.4975743940029807,9.58329583508197,3,0,1,Other
,7.1,0.5533649127204778,0.20647112354138916,8.77147020284949,0.056501002089551396,10.533794837177997,44.135179348711986,0.9955416906625508,3.3072763712347326,0.45045727842604927,10.9533794837178,3,0,1,Other
,7.1,0.8019844445798974,0.0855210810151851,6.397265664372152,0.07621137939011799,4.710274271101504,20.841097084406016,0.9975037691301981,3.37895047050952,0.50421285288214,10.37102742711015,3,0,1,Other
,7.1,0.781932945305319,0.09527586444606106,6.588748450237495,0.07462171097916043,5.179949028884421,22.719796115537683,0.9973455248656528,3.3731698581060376,0.49987739357952843,10.417994902888442,3,0,1,Other
,6.718782047712709,0.765399838717404,0.02140865357845321,1.9831249651989173,0.07818782047712709,5.859134642154679,12.093910238563547,0.9960976666481061,3.5429567321077338,0.6248349368790049,9.961738779820443,3,0,1,Other
,7.1,0.8383306886905777,0.06783912442080003,6.050175405297186,0.07909288342772147,3.8589208054459276,17.43568322178371,0.9977906097593959,3.3894286670098963,0.5120715002574222,10.285892080544592,3,0,1,Other
,6.93310987663484,0.8270190895325165,0.037483240747613,4.07282129718969,0.0803310987663484,4.2516759252387,13.1655493831742,0.9972121713585012,3.462583796261935,0.565894783925419,10.095693672896774,3,0,1,Off-Dry
,6.9450649471602555,0.8397389190088858,0.05961665845212208,5.66794447182626,0.07980953890812775,6.258978697663586,21.639900881408067,0.9980158889436525,3.401068517605791,0.5157259295768346,10.082463063362951,3,0,1,Other
,7.1,0.6464117701513803,0.16120508479122042,7.882914627383215,0.0638776898858752,8.354318897355057,35.41727558942023,0.9962760064022758,3.3341006904940915,0.4705755178705687,10.735431889735505,3,0,1,Other
,7.026118203124524,0.8537589833983006,0.04445886523433929,4.979652480464108,0.08126118203124524,3.554113476566071,13.630591015622619,0.9976958146562475,3.4277056738283034,0.5403174941407559,10.153823876952826,3,0,1,Off-Dry
,6.742082243774958,0.7137095318475458,0.05156168283121876,2.7678916068240422,0.07379177562250416,7.05205609437396,17.681102909619376,0.995758027098294,3.517386261074407,0.605802709829399,10.113068694627962,3,0,1,Other
,7.1,0.7782975707111411,0.09704442505944483,6.6234646400557695,0.07433350110142381,5.2651019473066025,23.06040778922641,0.997316834882369,3.3721218221869957,0.4990913666402468,10.42651019473066,3,0,1,Other
,6.788029811950913,0.7853085709358874,0.026602235896318452,2.658290666521399,0.07888029811950913,5.339776410368155,12.440149059754564,0.9964577550221447,3.5169888205184074,0.605791801713499,10.00501863246932,3,0,1,Other
,6.2432858944651635,0.2889810410064973,0.29341232086271196,9.25702992322223,0.038886255971242935,30.18009553988695,92.88309779436901,0.9946394313295175,3.293175358274576,0.41181674628323917,10.466034700216577,3,1,4,Other
,7.1,0.8129385143284671,0.08019207411047546,6.292659232538964,0.07707981014495956,4.453692457171041,19.814769828684163,0.99759021746443,3.382108400527126,0.5065813003953442,10.345369245717103,3,0,1,Other
,7.1,0.4461249014033576,0.258641939857826,9.795564004616585,0.04799909128242835,13.045723030191624,54.182892120766496,0.9946953640867509,3.2763603319361034,0.4272702489520773,11.204572303019162,3,0,4,Other
,6.700516058217792,0.7594323359604294,0.020387043663343644,1.811869339009205,0.07794839417822085,6.012901455444788,12.069667859401855,0.9959970326652478,3.5496000548812114,0.6297032665247698,9.951999725593941,3,0,1,Other
,7.088008574772614,0.33319056775012473,0.3110064310794604,10.72419721977012,0.03919914252273861,15.700214369315347,64.38115759430288,0.9937689506950576,3.2492933545512246,0.40689506950574705,11.453533227243879,3,0,4,Other
,6.767859307031428,0.6853547622654288,0.07089448027357126,3.3607640617228514,0.07121406929685717,7.696482675785708,21.16100644924282,0.9956098089845693,3.4974090370506428,0.5909808984569287,10.212954814746784,3,0,1,Off-Dry
,7.045473541473166,0.37997910437951693,0.27910515610487485,9.745891453882829,0.04345264585268335,14.636838536829162,58.63892809887747,0.9940135271365294,3.282258005358296,0.4313527136529293,11.288709973208519,3,0,4,Other
,7.1,0.6664765409851073,0.15144384492616397,7.691305104106181,0.06546841045647699,7.88433327422271,33.53733309689084,0.9964343554045311,3.3398851289326434,0.47491384669948267,10.68843332742227,3,0,1,Other
,4.320654166715794,0.24245922414911167,0.22251112068660592,5.124962931044647,0.04270580028805088,61.46210201046089,151.05050143435915,0.9969299258620893,3.4191679022985118,0.44332839080595293,8.091530747163706,3,0,4,Other
,7.076132842478111,0.8681381922124569,0.04820996318585834,5.467295214161584,0.08176132842478112,3.1790036814141667,13.880664212390556,0.9979558907808862,3.4089501840707084,0.5265634683185194,10.185083026548819,3,0,1,Off-Dry
,4.340084004505258,0.24688118723223118,0.22130513075484606,5.128982897483846,0.042980497994729513,61.053405422475606,150.09240943301657,0.9969379657949676,3.4190339034172053,0.44386438633117953,8.106270624107438,3,0,4,Other
,4.663689518056648,0.3205293385922025,0.20121927129303568,5.195935762356547,0.04755561042769743,54.246530827084314,134.13530997168945,0.9970718715247131,3.4168021412547818,0.45279143498087304,8.351764461974009,3,0,4,Other
,6.9572845358787765,0.47698701053334563,0.21296340190908253,7.717544325211864,0.052271546412122324,12.432113396969417,46.73341234363485,0.9945206139186971,3.3506044846939482,0.4820613918697034,10.946977576530259,3,0,4,Other
,7.014185906568439,0.41439550277471676,0.2556394299263295,9.026275851074104,0.04658140934315607,13.854647664210983,54.415097386739305,0.9941934310372315,3.3065059224094595,0.4493431037231474,11.167470387952703,3,0,4,Other
,7.011839626072858,0.8496538924959467,0.043387971955464344,4.8404363542103646,0.08111839626072859,3.661202804453566,13.55919813036429,0.9976215660555788,3.433060140222678,0.544244102829964,10.144899766295536,3,0,1,Off-Dry
,7.1,0.6730805475398176,0.14823108498062926,7.628239816286426,0.06599197133649005,7.729644832400668,32.91857932960267,0.9964864735103143,3.3417889866781456,0.47634174000860924,10.672964483240067,3,0,1,Other
,6.837559159794392,0.6086849242261689,0.12316936984579391,4.963860675271013,0.06424408402056081,9.438978994859797,30.570486572242903,0.9952090348311823,3.443391651159346,0.5509034831182247,10.483041744203268,3,0,1,Off-Dry
,6.851350736907353,0.8035133368608639,0.031351305268051445,3.2756696848466875,0.07951350736907353,4.864869473194856,12.756753684536763,0.9967870238319182,3.4932434736597426,0.588378547350478,10.044594210567094,3,0,1,Off-Dry
,7.039066950746808,0.3870263541785102,0.27430021306010666,9.598539867176605,0.04409330492531911,14.476673768670222,57.7740383508192,0.9940503650332059,3.287223113171223,0.4350365033205849,11.263884434143884,3,0,4,Other
,6.783509055178824,0.8029710263510428,0.06964426554062472,5.634519114864585,0.07752547284907993,9.657223322100592,29.60627762394074,0.9979490382297291,3.4021826961711805,0.5112692153152779,9.959903421170141,3,0,1,Off-Dry
,6.952128335452368,0.832486896442556,0.03890962515892765,4.258251270660595,0.08052128335452369,4.109037484107235,13.260641677261843,0.9973110673443523,3.4554518742053615,0.5606647077505986,10.10758020965773,3,0,1,Off-Dry
,6.997541144561542,0.8455430790614434,0.042315585842115686,4.701026159475039,0.08097541144561543,3.7684414157884314,13.487705722807712,0.99754721395172,3.4384220707894215,0.5481761852455759,10.135963215350964,3,0,1,Off-Dry
,7.03385665824202,0.8559837892445809,0.045039249368151534,5.0551024178596995,0.08133856658242021,3.496075063184847,13.669283291210101,0.9977360546228585,3.4248037531592423,0.5381894189834444,10.158660411401263,3,0,1,Off-Dry
,5.854678444908515,0.27491077128117036,0.2813520896695746,8.466414767227668,0.039288263677680846,36.61221884289355,105.07733155631902,0.9950655594983417,3.317295820660851,0.41717684903574465,9.997025709372345,3,1,4,Other
,6.995923400695019,0.845077977699818,0.04219425505212643,4.685253156776436,0.0809592340069502,3.7805744947873574,13.479617003475095,0.9975388016836141,3.4390287247393676,0.5486210648088697,10.134952125434387,3,0,1,Off-Dry
,7.04581009734574,0.8594204029869003,0.04593575730093051,5.1716484491209656,0.0814581009734574,3.4064242699069496,13.7290504867287,0.9977982125061978,3.4203212134953476,0.5349022232299215,10.166131310841086,3,0,1,Off-Dry
,6.742928399964583,0.7723419149898176,0.02321962999734374,2.2185518996546865,0.07842928399964583,5.6780370002656255,12.214641999822916,0.9962232276798159,3.5339018500132813,0.6181946900097396,9.976830249977864,3,0,1,Other
,7.1,0.6997169657512506,0.13527282747236458,7.373874020753823,0.06810368737487392,7.1057287301508865,30.422914920603546,0.9966966852432261,3.349467954090451,0.482100965567838,10.610572873015089,3,0,1,Other
,7.1,0.47743047952581186,0.24341219914960505,9.496609835158914,0.0504809749533977,12.312439218314317,51.24975687325727,0.9949424243249064,3.285385363466901,0.4340390226001756,11.131243921831432,3,0,4,Other
,6.803826838934551,0.7898502161936835,0.027787012920091347,2.812311679611875,0.07903826838934551,5.221298707990865,12.519134194672755,0.9965398995624597,3.511064935399543,0.6014476192929984,10.014891774334094,3,0,1,Other
,7.0764085297964545,0.8682174523164808,0.048230639734734126,5.469983165515437,0.08176408529796456,3.176936026526587,13.882042648982274,0.9979573243549416,3.4088468013263293,0.5264876543059749,10.185255331122784,3,0,1,Off-Dry
,7.040267669294713,0.38570556377581505,0.27520075197103516,9.626156393778412,0.04397323307052864,14.50669173236784,57.93613535478633,0.9940434609015554,3.2862925562965972,0.4343460901555397,11.268537218517015,3,0,4,Other
,6.839961186771414,0.6060426945514445,0.12497089007856049,5.019107295742522,0.0640038813228586,9.499029669285349,30.894760214140888,0.9951952231760643,3.441530080252154,0.549522317606437,10.492349598739228,3,0,1,Off-Dry
,7.1,0.7714899856241927,0.10035622320985219,6.688474011156358,0.07379380066209816,5.424558895289181,23.698235581156723,0.9972631101568179,3.3701592751349025,0.4976194563511768,10.442455889528917,3,0,1,Other
,6.964812445221265,0.8361335780011139,0.03986093339159491,4.381921340907338,0.08064812445221266,4.013906660840509,13.324062226106328,0.9973770247151506,3.450695333042025,0.557176577564152,10.11550777826329,3,0,1,Off-Dry
,7.1,0.6299138054335802,0.169231121680961,8.040462758922567,0.06256974313347302,8.74075771056479,36.96303084225916,0.9961458062482866,3.3293445204853565,0.46700839036401737,10.774075771056479,3,0,1,Other
,7.1,0.5867543754014444,0.19022760115605408,8.452615874544765,0.059148094626420816,9.751699314921122,41.00679725968449,0.9958051966923573,3.316902162277894,0.45767662170842044,10.875169931492112,3,0,1,Other
,6.7109107686011,0.7631368459728163,0.020818307645082502,1.906379993860725,0.078109107686011,5.9181692354917494,12.0545538430055,0.9960567359967257,3.5459084617745873,0.6269995386346975,9.956819230375686,3,0,1,Other
,6.90083849026621,0.8177410659515354,0.03506288676996575,3.758175280095548,0.0800083849026621,4.493711323003425,13.00419245133105,0.9970443601493842,3.474685566150171,0.5747694151767923,10.07552405641638,3,0,1,Off-Dry
,4.421163838192091,0.2653338390368206,0.2162725893535944,5.145758035488019,0.04412679909168128,59.3479330587181,146.09433487535554,0.996971516070976,3.418474732150399,0.4461010713984025,8.16777946345607,3,0,4,Other
,4.222330257228362,0.21580850931344067,0.23069300798294917,5.145430523326667,0.040976899733901694,63.63039574242712,156.2992919283514,0.9968555137179358,3.4186139840341014,0.4396919964520226,8.026950310448022,3,1,4,Other
,4.461601326724727,0.2745368536683861,0.21376267627225834,5.154124412425805,0.044698501515763385,58.497351403376435,144.10034837184966,0.9969882488248516,3.4181958529191396,0.44721658832344074,8.19845617889462,3,0,4,Other
,7.1,0.6020650423127124,0.1827791686046264,8.306405902238962,0.06036191326443126,9.393071080963495,39.57228432385398,0.9959260268204139,3.3213160482342956,0.4609870361757216,10.83930710809635,3,0,1,Other
,4.300288557522626,0.23782429240170117,0.22377519298135423,5.120749356728819,0.04241787270980265,61.89048206590338,152.05473664629807,0.9969214987134576,3.419308354775706,0.4427665808971759,8.076080974672337,3,0,4,Other
,7.1,0.8296745867146491,0.07205020105773827,6.13283728002227,0.07840663390170191,4.061676347224436,18.246705388897745,0.9977222967383966,3.386933214188007,0.5101999106410052,10.306167634722442,3,0,1,Other
,7.1,0.7416433649626822,0.11487620082896538,6.973495794050061,0.07142758208713157,6.1236689288020365,26.494675715208146,0.997027563853219,3.3615548439532055,0.4911661329649043,10.512366892880204,3,0,1,Other
,6.79889575430359,0.7884325293622823,0.02741718157276929,2.7642336044600073,0.0789889575430359,5.258281842723071,12.494478771517953,0.9965142579223787,3.5129140921361532,0.6028036675665126,10.011809846439743,3,0,1,Other
,7.1,0.7227273581667173,0.12407858251348887,7.154135138227744,0.06992793470150552,6.566746565464278,28.266986261857113,0.9968782807725589,3.3561015807327474,0.4870761855495605,10.556674656546427,3,0,1,Other
,7.1,0.5545134297019546,0.20591238555040042,8.76050238302638,0.05659205568808289,10.506892637611873,44.02757055044749,0.9955507546344046,3.3076074752293922,0.45070560642204427,10.950689263761188,3,0,1,Other
,6.949904374571669,0.48510518797116403,0.20742828092875176,7.547800615148388,0.053009562542833094,12.247609364291726,45.73709056717532,0.9945630498462129,3.3563241097069567,0.48630498462129035,10.918379451465217,3,0,1,Other
,7.1,0.6926638028114229,0.138704095929578,7.441228549728754,0.06754451770036507,7.270937952164866,31.083751808659464,0.996641022443809,3.3474346098195094,0.480575957364632,10.627093795216487,3,0,1,Other
,5.8120865997242515,0.2733686527486367,0.28003027378454576,8.379762392542442,0.03933232420718181,37.31718731490894,106.41383428451488,0.9951122636596127,3.3199394524309085,0.41776432276242415,9.94562175828789,3,1,4,Other
,6.790784349652951,0.7861005005252234,0.02680882622397133,2.685147409116272,0.07890784349652952,5.3191173776028675,12.453921748264754,0.9964720786181953,3.5159558688801433,0.6050343038454384,10.006740218533094,3,0,1,Other
,6.810790628856311,0.6381303082580578,0.10309297164223327,4.348184463695154,0.0669209371143689,8.769765721407776,26.95673489560199,0.9953629538840763,3.464137262636359,0.5662953884076212,10.379313686818204,3,0,1,Off-Dry
,7.031432587103775,0.3954241541858471,0.2685744403278315,9.422949503386834,0.044856741289622463,14.285814677594384,56.74339925900968,0.9940942626241533,3.293139744994574,0.43942626241532917,11.23430127502713,3,0,4,Other
,7.1,0.7664230265155467,0.10282123034378801,6.736861188229914,0.07339209579582714,5.543244423960164,24.172977695840657,0.9972231222633119,3.368698530166644,0.4965238976249831,10.454324442396016,3,0,1,Other
,6.695020067632082,0.7828321533231635,0.07513668545731905,5.616211048475603,0.0762744216458329,11.518543404980342,33.96970011331457,0.9979124220969512,3.4027929650508133,0.5088281397967471,9.892773844410545,3,0,1,Other
,6.825234985404902,0.7960050583039093,0.02939262390536766,3.021041107697796,0.07925234985404903,5.060737609463234,12.626174927024511,0.9966512219241055,3.5030368804731618,0.5955603790136519,10.028271865878063,3,0,1,Other
,6.362946033082447,0.29331356326677827,0.2971259113715242,9.500476412133255,0.038762469620949196,28.199513935187085,89.12824516879218,0.9945082177982062,3.2857481772569517,0.4101662616126559,10.61045210889261,3,1,4,Other
,4.713820401648933,0.3319384362373434,0.19810769920799726,5.206307669306676,0.048264357402622846,53.19205362048796,131.66333881524227,0.9970926153386134,3.416456411023111,0.4541743559075568,8.389794787457811,3,0,4,Other
,6.700976816939341,0.758925501366725,0.020732612704505732,1.8224667896048425,0.0779023183060659,6.024420423483525,12.131870286811031,0.9959943833025988,3.5492429668720105,0.6294383302598789,9.953785165639946,3,0,1,Other
,7.1,0.80082950521804,0.08608294340743997,6.4082948150349335,0.07611981662989867,4.737326904802666,20.949307619210664,0.9974946544736126,3.3786175150178135,0.5039631362633601,10.373732690480265,3,0,1,Other
,7.1,0.736450601953824,0.1174024098603019,7.023084341702223,0.07101590357832117,6.245301215496017,26.981204861984068,0.9969865831289328,3.3600578311938953,0.4900433733954214,10.524530121549601,3,0,1,Other
,6.7384148430228725,0.7177436726748405,0.048811132267154195,2.683541389526062,0.07415851569771277,6.960371075571807,17.186003808087754,0.9957791146526185,3.520228496657274,0.6079114652618485,10.098857516713629,3,0,1,Other
,6.750548349945615,0.7745326506093643,0.02379112624592112,2.2928464119697454,0.07850548349945614,5.620887375407888,12.252741749728074,0.9962628514197172,3.5310443687703943,0.6160992037649559,9.981592718716009,3,0,1,Other
,6.864770633907691,0.8073715572484611,0.032357797543076806,3.4065136805999847,0.0796477063390769,4.76422024569232,12.823853169538454,0.99685680729632,3.4882110122846157,0.584688075675385,10.052981646192306,3,0,1,Off-Dry
,6.850440158126912,0.5945158260603963,0.13283011859518432,5.260123636918986,0.06295598418730876,9.76100395317281,32.30942134713318,0.9951349690907703,3.433408877451643,0.5434969090770254,10.532955612741786,3,0,1,Off-Dry
,6.859334303489091,0.8058086122531136,0.031950072761681825,3.3535094590186367,0.0795933430348909,4.804992723831818,12.796671517445455,0.9968285383781432,3.490249636191591,0.5861830665405,10.049583939680682,3,0,1,Off-Dry
,6.895162545379772,0.5453212000822515,0.16637190903482857,6.288738543734743,0.058483745462022854,10.879063634494285,38.34694362626914,0.9948778153640663,3.3987490273306773,0.5177815364066315,10.706254863346613,3,0,1,Other
,7.1,0.45817146946904547,0.25278144728532925,9.680524705971278,0.04895413451646487,12.763551165589925,53.0542046623597,0.9947904342995936,3.279833216423509,0.4298749123176315,11.176355116558993,3,0,4,Other
,6.981429515523917,0.8480149931882018,0.057359547312308606,5.675468175625638,0.08032365866775193,5.494068811393468,19.84675147588962,0.9980309363512513,3.4008177274791453,0.5167290900834184,10.110049977294006,3,0,1,Other
,7.1,0.47054046692835083,0.24676409716999154,9.562406351855389,0.04993473972044583,12.473826900777368,51.89530760310947,0.9948880490903534,3.283399053528894,0.43254929014667043,11.147382690077738,3,0,4,Other
,7.1,0.4417624272264173,0.2607642245925538,9.837223667927908,0.04765323747380605,13.147907110011849,54.591628440047394,0.9946609359121652,3.2751026817229314,0.42632701129219835,11.214790711001184,3,0,4,Other
,5.9978951804345435,0.6241761445126892,0.11840650604199386,5.471978313193354,0.06641851806821251,26.18220482534236,68.34516868891734,0.9976239566263867,3.4076007228935548,0.4895971084257805,9.363920481708963,3,0,1,Other
,7.016437767231199,0.855982388404342,0.05518662134427038,5.682711262185766,0.08081860291602731,4.757688344447175,18.120482512392556,0.9980454225243715,3.4005762912604744,0.5176948349581021,10.136607961347806,3,0,1,Other
,6.343347897384399,0.7027964180254151,0.09696461326579589,5.543451289114014,0.07130250475612428,18.915785606741935,51.31077609449339,0.997766902578228,3.4052182903628663,0.4991268385485352,9.625988060084717,3,0,1,Other
,6.889043677754891,0.8143500573545314,0.034178275831616874,3.6431758581101934,0.07989043677754892,4.582172416838313,12.945218388774459,0.9969830271243254,3.4791086208419153,0.5780129886174048,10.068152298596807,3,0,1,Off-Dry
,7.090777291912162,0.33014497889662164,0.31308296893412163,10.787877713979729,0.038922270808783785,15.769432297804054,64.75493440814189,0.9937530305715051,3.2471475987680747,0.4053030571505068,11.464262006159629,3,0,4,Other
